rank,province,population - 2024
,Nationwide,"85,961,000"
5,East Azerbaijan,"4,092,000"
29,West Azerbaijan,"3,529,000"
2,Ardabil,"1,299,000"
6,Isfahan,"5,429,000"
1,Alborz,"3,028,000"
12,Ilam,"597,000"
3,Bushehr,"1,277,000"
28,Tehran,"14,425,000"
4,Chaharmahal and Bakhtiari,"997,000"
27,South Khorasan,"845,000"
24,Razavi Khorasan,"7,109,000"
21,North Khorasan,"875,000"
15,Khuzestan,"5,115,000"
31,Zanjan,"1,119,000"
25,Semnan,"787,000"
26,Sistan and Baluchestan,"3,280,000"
7,Fars,"5,136,000"
22,Qazvin,"1,346,000"
23,Qom,"1,454,000"
17,Kurdistan,"1,689,000"
13,Kerman,"3,413,000"
14,Kermanshah,"1,999,000"
16,Kohgiluyeh and Boyer-Ahmad,"759,000"
9,Golestan,"2,016,000"
8,Gilan,"2,569,000"
18,Lorestan,"1,792,000"
20,Mazandaran,"3,415,000"
19,Markazi,"1,472,000"
11,Hormozgan,"2,018,000"
10,Hamadan,"1,769,000"
30,Yazd,"1,314,000"